Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Rice_Late_China_Fujian,,,,,,,,,,,,,,,,,,,,3.78551,4.05643,4.47897,4.66119,4.39612,4.50498,3.76073,4.46212,4.18047,4.72144,4.62984,4.74583,4.82396,4.88768,4.89389,4.99813,5.20218,5.14592,5.1704,4.95788,4.92761,4.98447,4.88676,5.18717,5.2547,5.3346,5.39667,5.3501,5.64641,5.53922,5.55689,5.68831,5.94038,,
Rice_Late_China_Jiangxi,,,,,,,,,,,,,,,,,,,,2.93629,2.95446,3.59082,4.07326,4.14686,4.41246,3.72091,4.35212,4.45204,4.72984,4.88892,5.0241,5.10044,5.23631,5.32664,5.43904,5.56925,5.47938,5.48268,5.47232,5.20389,5.29091,5.16722,4.89128,4.9572,5.13779,5.51554,5.56676,5.589,5.70486,5.85918,5.86319,5.88251,,
Rice_Late_China_Shandong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice_Late_China_Henan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice_Late_China_Hubei,,,,,,,,,,,,,,,,,,,,2.21432,3.04682,3.83328,4.4107,4.91518,5.21301,5.43112,5.12275,5.48077,5.52433,5.58172,5.48682,5.94189,5.76698,6.17457,6.27048,6.36583,6.48227,6.36933,6.45638,6.10481,5.81981,6.15499,6.28848,5.93311,5.88324,5.82116,5.84597,6.00679,6.02604,6.12123,6.12675,6.57533,,
Rice_Late_China_Hunan,,,,,,,,,,,,,,,,,,,,3.93579,3.91378,4.45641,5.65485,5.30949,5.70929,5.65113,5.91297,5.53189,5.63609,5.54487,6.09155,6.10307,6.30883,6.16962,6.56938,6.65036,6.23699,6.33082,6.22935,6.17102,6.57573,5.98579,5.78449,6.21285,5.97632,6.23389,6.22968,6.31742,6.29998,6.1737,6.22274,6.42123,,
Rice_Late_China_Guangdong,,,,,,,,,,,,,,,,,,,,3.71963,3.22707,4.22179,4.19645,4.39475,3.91485,4.10281,4.55381,4.40039,4.99215,5.23062,5.16186,5.15751,5.04245,5.10451,5.26667,5.42411,5.66367,5.87014,6.149,5.60915,5.56792,5.39579,5.40241,4.82221,5.24846,5.41002,5.47153,5.2092,5.30859,5.43299,5.62203,5.84249,,
Rice_Late_China_Guangxi,,,,,,,,,,,,,,,,,,,,3.40291,3.21186,4.01269,4.08105,3.40237,3.37188,3.34746,3.77276,2.99879,3.8797,4.2862,4.24624,4.45969,4.5348,4.13327,4.54669,4.53774,4.41598,5.06581,4.83351,4.7759,4.91589,4.65937,4.80004,4.24533,4.76723,4.944,4.96891,5.05641,5.12513,5.19955,4.78505,5.20527,,
Rice_Late_China_Hainan,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36246,2.75216,3.27789,3.58115,4.06989,3.75877,3.86197,4.06236,3.69281,4.15828,4.042,4.11605,3.70833,3.95238,3.70132,3.86839,4.09149,3.08324,4.23487,4.36005,4.36766,4.21197,3.64841,3.99955,4.38533,,
Rice_Late_China_Chongqing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15385,5.95238,5.57621,5.29412,3.33333,3.44828,5.94444,5,6.06061,,,,,,,,,
