	Region	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
40	Rice_Late_China_Hunan																				0.0	-0.28232	0.0	0.34536	-0.34164	0.05444	0.0	0.26184	-0.1042	0.0	-0.09122	0.0	0.0	0.13921	-0.13921	0.26055	0.31954	-0.09383	0.09383	-0.00764	-0.05833	0.40471	-0.18523	-0.2013	0.22706	-0.23653	0.00421	-0.00421	0.08353	0.0703	-0.12628	-0.03862	0.19849		
41	Rice_Late_China_Guangdong																				0.0	-0.73097	0.02534	0.0	0.1983	-0.2816	-0.29194	0.15342	-0.15342	0.0	0.07311	0.00435	0.0	-0.11506	-0.053	0.0	0.0	0.0	0.20647	0.48533	0.0	0.0	-0.00662	0.00662	-0.57358	-0.15395	0.16156	0.16294	-0.20082	-0.1244	0.0	0.09452	0.22046		
42	Rice_Late_China_Guangxi																				0.0	-0.49594	0.60978	0.67868	0.0	-0.03049	-0.02442	0.40088	-0.77397	0.0	0.03996	-0.03996	0.17349	0.07511	-0.40153	0.01189	0.0	-0.13071	0.28991	0.0	-0.05761	0.11585	-0.11653	0.03281	-0.5219	-0.03281	0.0	0.0	0.0	0.06872	0.07442	-0.37729	0.00572		
43	Rice_Late_China_Hainan																												-0.3897	-0.262865	0.0	0.0	0.31112	-0.1032	0.0	0.20039	-0.34919	0.09592	0.0	0.07405	-0.24405	0.08399	-0.16707	0.0	0.2231	-1.00825	0.0	0.12518	0.13279	0.0	-0.56356	-0.10621	0.38578		
44	Rice_Late_China_Chongqing																																					0.20147	0.188085	0.0	0.0	-1.96079	-1.55172	0.94444	-0.47222	0.11617									
45	Rice_Late_China_Sichuan																				-1.07059	-0.048355	0.0	0.0	0.04277	-0.04277	0.0	0.4431	-0.4431	0.09559	-0.09559	0.0	0.1436	-0.1436	0.50601	1.36927	0.0	-0.43446	0.11522	0.06006	0.0	0.0	0.0	-0.38253	-0.34783	0.0	0.3816	-0.3816	0.11904	0.0	-0.11904	0.47619	0.0		
46	Rice_Late_China_Guizhou																				0.89134	0.098685	-0.459	-0.19737	0.098685	0.07177		0.0		0.9375	0.0	-1.70455	0.0	0.0	2.12122	-0.45455	0.0	0.0	0.71429	0.71429	-0.19481	-1.66667	0.19481	-0.93074	0.861525		-0.65852	-0.493155	0.493155	0.02244					
47	Rice_Late_China_Yunnan																				-0.36845	-0.279955	0.30119	0.36872	0.0	-0.4002	-0.57872	0.14582	-0.14582	0.0	0.0	0.30464	0.58992	0.0	-0.67795	0.23643	0.10274	-0.15638	0.0	0.1279	-0.50882	0.71867	-0.58591	-0.13276	0.0	0.0	0.33989	-0.11703	-0.00478	0.0	0.20709	0.081645	-0.19378		
48	Rice_Early_China_Shanghai																				-0.2757	0.81145	0.0	-1.0853	0.0	0.0375	0.0	0.82977	-0.1044	-0.1485	0.4031	0.0396	-0.7273																						
49	Rice_Early_China_Jiangsu																				-0.506	-0.0826	0.1487	-0.1487	0.0	0.056	0.246	-0.38427	-1.4241	0.52327	0.5518	-1.17796	-0.08889	0.03137	-0.015685	0.50234																			
